,DATE,Price
120,1990-01-01,1.019
121,1990-02-01,1.019
122,1990-03-01,1.019
123,1990-04-01,1.019
124,1990-05-01,1.019
125,1990-06-01,1.019
126,1990-07-01,1.019
127,1990-08-01,1.019
128,1990-09-01,1.019
129,1990-10-01,1.019
130,1990-11-01,1.019
131,1990-12-01,1.019
132,1991-01-01,1.102
133,1991-02-01,1.111
134,1991-03-01,1.07
135,1991-04-01,1.056
136,1991-05-01,1.047
137,1991-06-01,1.048
138,1991-07-01,1.062
139,1991-08-01,1.076
140,1991-09-01,1.099
141,1991-10-01,1.066
142,1991-11-01,1.039
143,1991-12-01,1.051
144,1992-01-01,1.046
145,1992-02-01,1.043
146,1992-03-01,1.042
147,1992-04-01,1.049
148,1992-05-01,1.045
149,1992-06-01,1.067
150,1992-07-01,1.074
151,1992-08-01,1.073
152,1992-09-01,1.064
153,1992-10-01,1.064
154,1992-11-01,1.084
155,1992-12-01,1.086
156,1993-01-01,1.083
157,1993-02-01,1.061
158,1993-03-01,1.08
159,1993-04-01,1.06
160,1993-05-01,1.07
161,1993-06-01,1.068
162,1993-07-01,1.086
163,1993-08-01,1.085
164,1993-09-01,1.084
165,1993-10-01,1.076
166,1993-11-01,1.067
167,1993-12-01,1.118
168,1994-01-01,1.13
169,1994-02-01,1.146
170,1994-03-01,1.124
171,1994-04-01,1.123
172,1994-05-01,1.144
173,1994-06-01,1.162
174,1994-07-01,1.132
175,1994-08-01,1.144
176,1994-09-01,1.139
177,1994-10-01,1.138
178,1994-11-01,1.121
179,1994-12-01,1.122
180,1995-01-01,1.13
181,1995-02-01,1.09
182,1995-03-01,1.135
183,1995-04-01,1.142
184,1995-05-01,1.155
185,1995-06-01,1.154
186,1995-07-01,1.147
187,1995-08-01,1.161
188,1995-09-01,1.159
189,1995-10-01,1.175
190,1995-11-01,1.169
191,1995-12-01,1.154
192,1996-01-01,1.175
193,1996-02-01,1.177
194,1996-03-01,1.208
195,1996-04-01,1.228
196,1996-05-01,1.212
197,1996-06-01,1.257
198,1996-07-01,1.27
199,1996-08-01,1.307
200,1996-09-01,1.303
201,1996-10-01,1.295
202,1996-11-01,1.301
203,1996-12-01,1.3
204,1997-01-01,1.323
205,1997-02-01,1.271
206,1997-03-01,1.292
207,1997-04-01,1.291
208,1997-05-01,1.243
209,1997-06-01,1.266
210,1997-07-01,1.284
211,1997-08-01,1.258
212,1997-09-01,1.295
213,1997-10-01,1.29
214,1997-11-01,1.284
215,1997-12-01,1.296
216,1998-01-01,1.309
217,1998-02-01,1.275
218,1998-03-01,1.292
219,1998-04-01,1.283
220,1998-05-01,1.31
221,1998-06-01,1.313
222,1998-07-01,1.288
223,1998-08-01,1.294
224,1998-09-01,1.287
225,1998-10-01,1.268
226,1998-11-01,1.295
227,1998-12-01,1.32
228,1999-01-01,1.302
229,1999-02-01,1.308
230,1999-03-01,1.319
231,1999-04-01,1.27
232,1999-05-01,1.332
233,1999-06-01,1.306
234,1999-07-01,1.344
235,1999-08-01,1.348
236,1999-09-01,1.342
237,1999-10-01,1.371
238,1999-11-01,1.361
239,1999-12-01,1.363
240,2000-01-01,1.3
241,2000-02-01,1.348
242,2000-03-01,1.371
243,2000-04-01,1.383
244,2000-05-01,1.35
245,2000-06-01,1.359
246,2000-07-01,1.364
247,2000-08-01,1.356
248,2000-09-01,1.364
249,2000-10-01,1.36
250,2000-11-01,1.371
251,2000-12-01,1.358
252,2001-01-01,1.371
253,2001-02-01,1.38
254,2001-03-01,1.472
255,2001-04-01,1.463
256,2001-05-01,1.469
257,2001-06-01,1.415
258,2001-07-01,1.456
259,2001-08-01,1.454
260,2001-09-01,1.447
261,2001-10-01,1.409
262,2001-11-01,1.468
263,2001-12-01,1.458
264,2002-01-01,1.485
265,2002-02-01,1.465
266,2002-03-01,1.45
267,2002-04-01,1.474
268,2002-05-01,1.465
269,2002-06-01,1.514
270,2002-07-01,1.45
271,2002-08-01,1.458
272,2002-09-01,1.449
273,2002-10-01,1.461
274,2002-11-01,1.417
275,2002-12-01,1.437
276,2003-01-01,1.462
277,2003-02-01,1.476
278,2003-03-01,1.467
279,2003-04-01,1.448
280,2003-05-01,1.447
281,2003-06-01,1.446
282,2003-07-01,1.446
283,2003-08-01,1.35
284,2003-09-01,1.372
285,2003-10-01,1.362
286,2003-11-01,1.32
287,2003-12-01,1.32
288,2004-01-01,1.32
289,2004-02-01,1.32
290,2004-03-01,1.279
291,2004-04-01,1.341
292,2004-05-01,1.356
293,2004-06-01,1.356
294,2004-07-01,1.356
295,2004-08-01,1.356
296,2004-09-01,1.356
297,2004-10-01,1.372
298,2004-11-01,1.329
299,2004-12-01,1.303
300,2005-01-01,1.36
301,2005-02-01,1.37
302,2005-03-01,1.393
303,2005-04-01,1.35
304,2005-05-01,1.359
305,2005-06-01,1.353
306,2005-07-01,1.375
307,2005-08-01,1.406
308,2005-09-01,1.407
309,2005-10-01,1.279
310,2005-11-01,1.302
311,2005-12-01,1.287
312,2006-01-01,1.34
313,2006-02-01,1.322
314,2006-03-01,1.363
315,2006-04-01,1.37
316,2006-05-01,1.375
317,2006-06-01,1.389
318,2006-07-01,1.415
319,2006-08-01,1.386
320,2006-09-01,1.408
321,2006-10-01,1.427
322,2006-11-01,1.594
323,2006-12-01,1.62
324,2007-01-01,1.605
325,2007-02-01,1.64
326,2007-03-01,1.654
327,2007-04-01,1.637
328,2007-05-01,1.698
329,2007-06-01,1.735
330,2007-07-01,1.75
331,2007-08-01,1.714
332,2007-09-01,1.701
333,2007-10-01,1.771
334,2007-11-01,1.784
335,2007-12-01,1.809
336,2008-01-01,1.812
337,2008-02-01,1.884
338,2008-03-01,1.873
339,2008-04-01,1.92
340,2008-05-01,1.973
341,2008-06-01,1.982
342,2008-07-01,1.933
343,2008-08-01,1.95
344,2008-09-01,1.951
345,2008-10-01,2.003
346,2008-11-01,2.019
347,2008-12-01,1.948
348,2009-01-01,1.974
349,2009-02-01,1.97
350,2009-03-01,1.943
351,2009-04-01,1.914
352,2009-05-01,1.885
353,2009-06-01,1.848
354,2009-07-01,1.875
355,2009-08-01,1.835
356,2009-09-01,1.866
357,2009-10-01,1.893
358,2009-11-01,1.809
359,2009-12-01,1.757
360,2010-01-01,1.759
361,2010-02-01,1.741
362,2010-03-01,1.793
363,2010-04-01,1.821
364,2010-05-01,1.786
365,2010-06-01,1.768
366,2010-07-01,1.755
367,2010-08-01,1.681
368,2010-09-01,1.774
369,2010-10-01,1.743
370,2010-11-01,1.884
371,2010-12-01,1.88
372,2011-01-01,1.884
373,2011-02-01,1.864
374,2011-03-01,1.895
375,2011-04-01,1.929
376,2011-05-01,1.911
377,2011-06-01,1.938
378,2011-07-01,1.85
379,2011-08-01,1.974
380,2011-09-01,2.073
381,2011-10-01,2.041
382,2011-11-01,2.093
383,2011-12-01,2.073
384,2012-01-01,1.984
385,2012-02-01,2.044
386,2012-03-01,2.056
387,2012-04-01,2.019
388,2012-05-01,2.027
389,2012-06-01,1.935
390,2012-07-01,1.974
391,2012-08-01,1.905
392,2012-09-01,1.982
393,2012-10-01,2.014
394,2012-11-01,1.991
395,2012-12-01,1.925
396,2013-01-01,2.078
397,2013-02-01,2.025
398,2013-03-01,2.024
399,2013-04-01,2.046
400,2013-05-01,2.071
401,2013-06-01,2.057
402,2013-07-01,2.056
403,2013-08-01,2.036
404,2013-09-01,2.011
405,2013-10-01,1.976
406,2013-11-01,2.045
407,2013-12-01,2.076
408,2014-01-01,2.073
409,2014-02-01,2.068
410,2014-03-01,2.064
411,2014-04-01,2.092
412,2014-05-01,2.016
413,2014-06-01,2.027
414,2014-07-01,2.02
415,2014-08-01,2.072
416,2014-09-01,2.065
417,2014-10-01,2.001
418,2014-11-01,1.921
419,2014-12-01,1.994
420,2015-01-01,1.948
421,2015-02-01,2.024
422,2015-03-01,2.042
423,2015-04-01,2.008
424,2015-05-01,2.041
425,2015-06-01,1.957
426,2015-07-01,1.963
427,2015-08-01,1.956
428,2015-09-01,2.008
429,2015-10-01,1.978
430,2015-11-01,2.028
431,2015-12-01,1.949
432,2016-01-01,1.943
433,2016-02-01,1.947
434,2016-03-01,1.909
435,2016-04-01,1.915
436,2016-05-01,1.962
437,2016-06-01,1.977
438,2016-07-01,1.966
439,2016-08-01,1.992
440,2016-09-01,1.974
441,2016-10-01,2.004
442,2016-11-01,2.024
443,2016-12-01,1.96
444,2017-01-01,1.975
445,2017-02-01,1.986
446,2017-03-01,1.929
447,2017-04-01,2.014
448,2017-05-01,1.974
449,2017-06-01,2.032
450,2017-07-01,1.967
451,2017-08-01,2.025
452,2017-09-01,1.986
453,2017-10-01,2.009
454,2017-11-01,2.024
455,2017-12-01,1.97
456,2018-01-01,2.033
457,2018-02-01,2.011
458,2018-03-01,2.039
459,2018-04-01,2.016
460,2018-05-01,1.966
461,2018-06-01,1.896
462,2018-07-01,1.899
463,2018-08-01,1.936
464,2018-09-01,1.951
465,2018-10-01,1.91
466,2018-11-01,1.945
467,2018-12-01,1.924
468,2019-01-01,1.94
469,2019-02-01,1.951
470,2019-03-01,1.962
471,2019-04-01,1.952
472,2019-05-01,1.941
473,2019-06-01,1.905
474,2019-07-01,1.951
475,2019-08-01,1.94
476,2019-09-01,1.935
477,2019-10-01,1.948
478,2019-11-01,1.943
479,2019-12-01,1.964
480,2020-01-01,1.961
481,2020-02-01,1.986
482,2020-03-01,1.994
483,2020-04-01,2.07
484,2020-05-01,2.075
485,2020-06-01,2.118
486,2020-07-01,2.144
487,2020-08-01,2.084
488,2020-09-01,2.081
489,2020-10-01,2.17
490,2020-11-01,2.207
491,2020-12-01,2.203
492,2021-01-01,2.175
493,2021-02-01,2.203
494,2021-03-01,2.196
495,2021-04-01,2.209
496,2021-05-01,2.151
497,2021-06-01,2.026
498,2021-07-01,2.1
499,2021-08-01,2.076
500,2021-09-01,2.102
501,2021-10-01,2.175
502,2021-11-01,2.094
503,2021-12-01,2.099
504,2022-01-01,2.119
505,2022-02-01,2.029
506,2022-03-01,2.121
507,2022-04-01,2.145
508,2022-05-01,2.22
509,2022-06-01,2.23
510,2022-07-01,2.316
511,2022-08-01,2.298
512,2022-09-01,2.362
513,2022-10-01,2.386
514,2022-11-01,2.419
515,2022-12-01,2.419
516,2023-01-01,2.451
