date_time,DJIA_Price,DJIA_Open,DJIA_High,DJIA_Low,DJIA_Vol.,DJIA_Change %
2023-03-01,32930.14,32656.37,32973.59,32500.84,,0.84
2023-02-01,32654.98,34039.6,34333.87,32638.35,,-4.2
2023-01-01,34086.89,33225.61,34342.28,32812.33,,2.83
2022-12-01,33147.28,34533.59,34711.63,32573.43,,-4.16
2022-11-01,34587.46,32927.61,34587.46,31728.85,,5.66
2022-10-01,32734.4,28855.25,32888.75,28666.77,,13.94
2022-09-01,28730.12,31454.58,32503.16,28723.55,,-8.83
2022-08-01,31511.09,32755.71,34281.16,31511.09,,-4.07
2022-07-01,32846.45,30740.97,32906.21,30145.31,,6.71
2022-06-01,30779.71,33156.31,33270.83,29654.59,,-6.71
2022-05-01,32991.97,33045.95,34113.4,30635.76,3010000000.0,0.04
2022-04-01,32977.21,34740.89,35492.22,32913.15,7220000000.0,-4.91
2022-03-01,34678.35,33813.48,35372.26,32578.73,9220000000.0,2.32
2022-02-01,33892.6,35151.47,35824.28,32272.64,7360000000.0,-3.53
2022-01-01,35131.86,36321.59,36952.65,33150.33,8900000000.0,-3.32
2021-12-01,36338.3,34678.94,36679.44,34006.98,8410000000.0,5.38
2021-11-01,34483.72,35833.65,36565.73,34424.44,7230000000.0,-3.73
2021-10-01,35819.56,33930.7,35892.92,33785.54,6770000000.0,5.84
2021-09-01,33843.92,35387.55,35475.4,33613.03,6660000000.0,-4.29
2021-08-01,35360.73,34968.56,35631.19,34690.25,5660000000.0,1.22
2021-07-01,34935.47,34507.32,35171.52,33741.76,6710000000.0,1.25
2021-06-01,34502.51,34584.19,34849.32,33271.93,6830000000.0,-0.08
2021-05-01,34529.45,33904.89,35091.56,33473.8,6610000000.0,1.93
2021-04-01,33874.85,33054.58,34256.75,32985.35,6890000000.0,2.71
2021-03-01,32981.55,31065.9,33259.0,30547.53,9790000000.0,6.62
2021-02-01,30932.37,30054.73,32009.64,30014.97,6770000000.0,3.17
2021-01-01,29982.62,30627.47,31272.22,29856.3,8220000000.0,-2.04
2020-12-01,30606.48,29797.5,30637.47,29599.29,8180000000.0,3.27
2020-11-01,29638.64,26691.28,30116.51,26691.28,7920000000.0,11.84
2020-10-01,26501.6,27940.63,28957.9,26143.77,8510000000.0,-4.61
2020-09-01,27781.7,28439.61,29199.35,26537.01,10050000000.0,-2.28
2020-08-01,28430.05,26542.32,28733.35,26534.38,7510000000.0,7.57
2020-07-01,26428.32,25879.38,27071.33,25523.51,8270000000.0,2.38
2020-06-01,25812.88,25342.99,27580.21,24843.18,9820000000.0,1.69
2020-05-01,25383.11,24120.78,25758.79,22789.62,8010000000.0,4.26
2020-04-01,24345.72,21227.38,24764.77,20735.02,9880000000.0,11.08
2020-03-01,21917.16,25590.51,27102.34,18213.65,15600000000.0,-13.74
2020-02-01,25409.36,28319.65,29568.57,24681.01,7050000000.0,-10.07
2020-01-01,28256.03,28638.97,29373.62,28169.53,6270000000.0,-0.99
2019-12-01,28538.44,28109.74,28701.66,27325.13,5140000000.0,1.74
2019-11-01,28051.41,27142.95,28174.97,27142.95,4980000000.0,3.72
2019-10-01,27046.23,26962.54,27204.36,25743.46,5720000000.0,0.48
2019-09-01,26916.83,26198.26,27306.73,25978.22,5090000000.0,1.95
2019-08-01,26403.28,26879.86,27175.59,25339.6,6240000000.0,-1.72
2019-07-01,26864.27,26805.86,27398.68,26616.21,5270000000.0,0.99
2019-06-01,26599.96,24830.16,26907.37,24680.57,5540000000.0,7.19
2019-05-01,24815.04,26639.06,26689.39,24809.51,6360000000.0,-6.69
2019-04-01,26592.91,26075.1,26695.96,26062.59,5850000000.0,2.56
2019-03-01,25928.68,26019.67,26155.98,25208.0,6630000000.0,0.05
2019-02-01,25916.0,25025.31,26241.42,24883.04,5430000000.0,3.67
2019-01-01,24999.67,23058.61,25109.62,22638.41,7190000000.0,7.17
2018-12-01,23327.46,25779.57,25980.21,21712.53,8100000000.0,-8.66
2018-11-01,25538.46,25142.08,26277.82,24268.74,7230000000.0,1.68
2018-10-01,25115.76,26598.36,26951.81,24122.23,8370000000.0,-5.07
2018-09-01,26458.31,25916.07,26769.16,25754.32,5260000000.0,1.9
2018-08-01,25964.82,25461.63,26167.94,24965.77,5640000000.0,2.16
2018-07-01,25415.19,24161.53,25587.24,24077.56,5410000000.0,4.71
2018-06-01,24271.41,24542.09,25402.83,23997.21,7410000000.0,-0.59
2018-05-01,24415.84,24117.29,25086.49,23531.31,7280000000.0,1.05
2018-04-01,24163.15,24076.6,24858.97,23344.52,8060000000.0,0.25
2018-03-01,24103.11,25024.04,25449.15,23509.06,8870000000.0,-3.7
2018-02-01,25029.2,26083.04,26306.7,23360.29,9450000000.0,-4.28
